,id,name,current_price,tag,tag_updated_at
62,20087, Alubias blancas - Frijoles - al natural Mocitos (2.5 kg / 5.51 lb) ,6.99,frijoles,2024-12-21 20:08:33
63,7292, Frijoles negros (1 kg / 2.2 lb) ,6.79,frijoles,2024-12-21 20:08:33
64,7241, Frijoles de mantequilla (1.36 kg / 3 lb) ,6.62,frijoles,2024-12-21 20:08:33
65,18167, Frijoles colorados (1 kg / 2.2 lb) ,6.58,frijoles,2024-12-21 20:08:33
66,7283, Frijoles negros (1.5 kg / 3.31 lb) ,6.4,frijoles,2024-12-21 20:08:33
67,7395,Frijoles negros Vima Foods (1 kg / 2.20 lb),6.27,frijoles,2024-12-21 20:08:33
68,22310, Frijoles cargamanto rojo Dale (907 g / 2.0 lb) ,6.27,frijoles,2024-12-21 20:08:33
69,21713, Frijoles colorados (1 kg / 2.2 lb) ,6.16,frijoles,2024-12-21 20:08:33
70,7280,Frijol negro Los Granos (1 kg / 2.2 lb),5.89,frijoles,2024-12-21 20:08:33
71,7238, Frijoles negros (1.36 kg / 3 lb) ,5.81,frijoles,2024-12-21 20:08:33
72,19258, Frijoles negros Dale (907 g / 2 lb) ,5.8,frijoles,2024-12-21 20:08:33
73,19527,Frijoles colorados Dale (907 g / 2 lb),5.8,frijoles,2024-12-21 20:08:33
74,7351, Frijol negro (1.3 kg / 3 lb) ,5.77,frijoles,2024-12-21 20:08:33
75,7314,Frijol Negro Los Granos (1 kg / 2.2 lb),5.75,frijoles,2024-12-21 20:08:33
76,21714,Frijoles negros (1 kg / 2.2 lb),5.57,frijoles,2024-12-21 20:08:33
77,7316, Frijol negro (1 kg / 2.2 lb) ,5.3,frijoles,2024-12-21 20:08:33
78,7407, Frijol bayo Ubirama (1 kg / 2.2 lb) ,5.3,frijoles,2024-12-21 20:08:33
79,20620, Frijoles negros (1 kg / 2.2 lb) ,5.0,frijoles,2024-12-21 20:08:33
80,21604, Frijoles bayos (907 g / 2 lb) ,5.0,frijoles,2024-12-21 20:08:33
81,25299,Frijoles bayos 1 lb,5.0,frijoles,2024-12-21 20:08:33
82,25301,Frijoles colorados 1 lb,5.0,frijoles,2024-12-21 20:08:33
83,25302,Frijoles Negros 1 lb,5.0,frijoles,2024-12-21 20:08:33
84,7217,Frijoles colorados FrutiSel (1 kg / 2.2 lb),4.89,frijoles,2024-12-21 20:08:33
85,19528,Frijoles blancos (1 kg / 2.2 lb),4.79,frijoles,2024-12-21 20:08:33
86,20347, Frijoles negros (908 g / 2 lb) ,4.77,frijoles,2024-12-21 20:08:33
87,7199,Frijoles negros Frutisel (1 kg / 2.2 lb),4.76,frijoles,2024-12-21 20:08:33
88,16946,Frijoles negros (1.36 kg / 3 lb),4.73,frijoles,2024-12-21 20:08:33
